latitude,longitude,date,susceptibility_score,dynamic_hazard_score,final_risk_score,risk_level,system_action
28.0325375,88.0569625,2018-10-02,0.9666666666666667,0.9766666666666667,97.26666666666667,Critical,Immediate alert / authority review
27.8630375,88.87303750000001,2023-05-21,0.9266666666666666,0.9666666666666667,95.06666666666666,Critical,Immediate alert / authority review
27.2217625,88.2127375,2018-05-26,0.8733333333333333,0.9466666666666667,91.73333333333332,Critical,Immediate alert / authority review
27.4703625,88.63123750000001,2023-09-07,0.9333333333333333,0.9733333333333334,95.73333333333333,Critical,Immediate alert / authority review
28.0240625,88.3940875,2021-08-24,0.98,0.9733333333333334,97.6,Critical,Immediate alert / authority review
27.6398625,88.8567625,2020-08-08,0.93,0.9366666666666666,93.4,Critical,Immediate alert / authority review
27.5861875,88.2383125,2021-08-13,0.9433333333333334,0.98,96.53333333333333,Critical,Immediate alert / authority review
27.9477875,88.13368750000001,2020-08-17,0.9733333333333334,0.9333333333333333,94.93333333333334,Critical,Immediate alert / authority review
27.2980375,88.5800875,2019-08-20,0.9533333333333334,0.9666666666666667,96.13333333333333,Critical,Immediate alert / authority review
28.0014625,88.4103625,2018-08-12,0.98,0.9666666666666667,97.19999999999999,Critical,Immediate alert / authority review
27.6850625,88.0732375,2024-08-09,0.9266666666666666,0.9566666666666667,94.46666666666667,Critical,Immediate alert / authority review
27.5438125,88.4638375,2022-05-03,0.8666666666666667,0.8966666666666666,88.46666666666667,Critical,Immediate alert / authority review
27.6426875,88.7963125,2018-07-10,0.94,0.98,96.4,Critical,Immediate alert / authority review
27.4647125,88.4963875,2021-08-11,0.9733333333333334,0.9833333333333333,97.93333333333334,Critical,Immediate alert / authority review
27.2952125,88.84281250000001,2024-09-05,0.9266666666666666,0.9633333333333334,94.86666666666667,Critical,Immediate alert / authority review
27.0466125,88.0383625,2020-07-06,0.95,0.97,96.19999999999999,Critical,Immediate alert / authority review
27.8093625,88.70098750000001,2023-10-12,0.9333333333333333,0.92,92.53333333333333,Critical,Immediate alert / authority review
27.3940875,88.23366250000001,2019-05-04,0.87,0.9,88.80000000000001,Critical,Immediate alert / authority review
27.3404125,88.3592125,2018-07-10,0.9733333333333334,0.97,97.13333333333333,Critical,Immediate alert / authority review
27.7980625,88.2197125,2020-07-07,0.9666666666666667,0.9433333333333334,95.26666666666667,Critical,Immediate alert / authority review
28.1285875,88.37083750000001,2022-08-18,0.9433333333333334,0.9766666666666667,96.33333333333333,Critical,Immediate alert / authority review
27.0296625,88.8939625,2024-10-04,0.9333333333333333,0.9666666666666667,95.33333333333333,Critical,Immediate alert / authority review
27.7924125,88.5638125,2023-08-23,0.98,0.9566666666666667,96.6,Critical,Immediate alert / authority review
